ID_Venda,Data_Venda,Produto,Categoria,Quantidade,Preço_Unitário,Vendedor,Região
1,2025-01-05,Mouse Gamer,Informática,3,120.0,João,Sul
2,2025-01-07,Teclado Mecânico,Informática,2,250.0,Maria,Sudeste
3,2025-02-02,Cadeira Office,Móveis,1,850.0,Ana,Nordeste
4,2025-02-15,"Monitor 24""",Informática,2,900.0,João,Sul
5,2025-03-01,Impressora,Periféricos,1,700.0,Carlos,Centro-Oeste
6,2025-03-23,SSD 1TB,Informática,2,1167.66,Carlos,Norte
7,2025-06-29,Webcam Full HD,Periféricos,3,1349.21,João,Centro-Oeste
8,2025-03-15,Mouse Gamer,Informática,2,139.59,Fernando,Norte
9,2025-03-03,Mouse Gamer,Informática,4,1049.7,Ana,Sudeste
10,2025-12-05,Impressora,Periféricos,2,986.26,João,Centro-Oeste
11,2025-02-06,Impressora,Periféricos,4,996.71,Carlos,Sul
12,2025-10-25,Mouse Gamer,Informática,3,964.66,Paula,Norte
13,2025-01-13,Roteador Wi-Fi,Informática,1,830.93,Carlos,Nordeste
14,2025-03-08,Cadeira Office,Móveis,4,1233.14,Juliana,Sul
15,2025-12-23,Mouse Gamer,Informática,4,73.11,Fernando,Sul
16,2025-07-04,Fone de Ouvido,Periféricos,3,1356.94,Maria,Centro-Oeste
17,2025-12-29,Mouse Gamer,Informática,4,532.81,Maria,Norte
18,2025-02-16,Webcam Full HD,Periféricos,1,361.53,Maria,Nordeste
19,2025-04-29,SSD 1TB,Informática,4,1419.52,Pedro,Centro-Oeste
20,2025-03-05,Mouse Gamer,Informática,4,1014.78,Ana,Norte
21,2025-07-05,Impressora,Periféricos,4,1265.96,Pedro,Norte
22,2025-01-09,Fone de Ouvido,Periféricos,1,431.01,João,Norte
23,2025-11-24,Webcam Full HD,Periféricos,2,729.51,Maria,Centro-Oeste
24,2025-05-29,Teclado Mecânico,Informática,3,1489.46,Ana,Sul
25,2025-05-06,Webcam Full HD,Periféricos,4,951.33,Paula,Norte
26,2025-12-08,"Monitor 24""",Informática,4,986.15,Paula,Centro-Oeste
27,2025-05-11,SSD 1TB,Informática,2,336.11,Carlos,Centro-Oeste
28,2025-12-08,Impressora,Periféricos,2,1288.8,Carlos,Nordeste
29,2025-04-03,Mouse Gamer,Informática,4,467.51,João,Sul
30,2025-05-27,Mouse Gamer,Informática,4,266.37,Maria,Norte
31,2025-02-06,Teclado Mecânico,Informática,1,894.27,Pedro,Norte
32,2025-05-17,Impressora,Periféricos,3,1412.06,João,Sudeste
33,2025-12-10,SSD 1TB,Informática,4,507.76,Juliana,Centro-Oeste
34,2025-04-09,Teclado Mecânico,Informática,1,1327.24,Pedro,Sudeste
35,2025-06-29,Mesa de Escritório,Móveis,4,1009.91,Carlos,Centro-Oeste
36,2025-03-13,Mesa de Escritório,Móveis,2,580.68,João,Centro-Oeste
37,2025-09-05,Mouse Gamer,Informática,3,84.81,Carlos,Sul
38,2025-02-27,Teclado Mecânico,Informática,4,818.48,Ana,Nordeste
39,2025-03-21,SSD 1TB,Informática,4,815.0,Fernando,Sul
40,2025-03-10,Teclado Mecânico,Informática,3,1282.37,Juliana,Norte
41,2025-06-07,Roteador Wi-Fi,Informática,4,1433.32,Paula,Nordeste
42,2025-07-05,Fone de Ouvido,Periféricos,4,427.15,Fernando,Norte
43,2025-11-10,Webcam Full HD,Periféricos,3,1045.38,Paula,Sul
44,2025-12-02,Webcam Full HD,Periféricos,1,132.6,Carlos,Norte
45,2025-03-28,Impressora,Periféricos,3,838.85,Juliana,Sul
46,2025-09-08,SSD 1TB,Informática,3,537.58,Juliana,Nordeste
47,2025-04-28,Fone de Ouvido,Periféricos,2,127.61,Maria,Nordeste
48,2025-08-02,"Monitor 24""",Informática,2,715.2,Juliana,Centro-Oeste
49,2025-01-22,Cadeira Office,Móveis,3,665.73,Juliana,Nordeste
50,2025-03-07,Teclado Mecânico,Informática,4,1211.25,Carlos,Nordeste
51,2025-09-29,Mesa de Escritório,Móveis,1,1443.45,João,Nordeste
52,2025-03-15,Impressora,Periféricos,2,862.91,Fernando,Sul
53,2025-10-17,Mesa de Escritório,Móveis,4,1203.48,João,Nordeste
54,2025-11-06,Mesa de Escritório,Móveis,2,78.21,João,Centro-Oeste
55,2025-10-30,Fone de Ouvido,Periféricos,1,284.26,Juliana,Sul
56,2025-02-25,Mouse Gamer,Informática,2,873.82,Paula,Centro-Oeste
57,2025-07-13,Mouse Gamer,Informática,3,1323.44,Paula,Nordeste
58,2025-05-14,"Monitor 24""",Informática,2,1286.1,Maria,Sul
59,2025-12-17,Teclado Mecânico,Informática,2,624.13,Pedro,Nordeste
60,2025-01-31,Mesa de Escritório,Móveis,3,992.85,Maria,Nordeste
61,2025-05-02,Teclado Mecânico,Informática,4,1112.67,João,Sudeste
